"1.7024986624413158e+16","-7344597956870171.0","-10497931.079413865","-7344597956870171.0","3168467766092285.0","4527602.9930381505","-10497931.079413865","4527602.9930381505","0.029354889135614518"
"1.2915196937958614e+16","-6101364894475409.0","-8798246.000229046","-6101364894475409.0","2882391614862226.0","4155303.268016247","-8798246.000229046","4155303.268016247","0.025437111434076343"
"8406502163939676.0","-4271126961912705.5","-6900047.09653996","-4271126961912705.5","2170049614265314.0","3504755.672045878","-6900047.09653996","3504755.672045878","0.022135238397330857"
"5885729175393916.0","-2856173706597926.0","-5824186.0144606745","-2856173706597926.0","1386018434869091.2","2825424.732069978","-5824186.0144606745","2825424.732069978","0.021610978731724594"
"3914998562706670.5","-2122544174419483.0","-4722184.151528687","-2122544174419483.0","1150752493131440.5","2559245.530231383","-4722184.151528687","2559245.530231383","0.02175036029623736"
"2376863761900526.0","-1640330946685070.0","-3548731.6199521385","-1640330946685070.0","1132032056783956.0","2448130.828542841","-3548731.6199521385","2448130.828542841","0.020899453458710207"
"1222881231208429.2","-1232420088682552.0","-2474931.3160965894","-1232420088682552.0","1242033515667758.8","2493253.795745785","-2474931.3160965894","2493253.795745785","0.020503830351155366"
"473959424916278.2","-786955427793718.6","-1552747.2614817491","-786955427793718.6","1306649686864055.5","2577036.627976702","-1552747.2614817491","2577036.627976702","0.020442293906601076"
"95468543691967.92","-366785149401718.7","-700267.706062775","-366785149401718.7","1409169713979814.0","2688970.8962208102","-700267.706062775","2688970.8962208102","0.019827547386008535"
"126421417809.41139","-13732911842893.652","-25492.80297737989","-13732911842893.652","1491941382246039.0","2753120.664262543","-25492.80297737989","2753120.664262543","0.01905844870624038"
"35559233421561.055","246577259639077.88","417093.56863306556","246577259639077.88","1709833583320184.0","2892572.4468921046","417093.56863306556","2892572.4468921046","0.017981762036019953"
"128557605767025.47","506474088333317.75","787916.6741089056","506474088333317.75","1995339314973745.2","3104028.35763605","787916.6741089056","3104028.35763605","0.017828089276219875"
"207106973523818.38","694354580865943.2","1005390.2970942017","694354580865943.2","2327919385535069.5","3370571.7201066837","1005390.2970942017","3370571.7201066837","0.01762599364704019"
"290652496377584.44","864888075848683.4","1200832.0915036958","864888075848683.4","2573628169053909.0","3573073.6071979073","1200832.0915036958","3573073.6071979073","0.018000734466237945"
"387829204674317.75","1053093593269991.5","1336992.3872268626","1053093593269991.5","2859522137860494.5","3630127.347753508","1336992.3872268626","3630127.347753508","0.0172438205962947"
"532087607946749.44","1225451361585167.5","1498835.401551537","1225451361585167.5","2822338108419740.5","3451661.1552158026","1498835.401551537","3451661.1552158026","0.0172400458116743"
"815564672671676.6","1512266032579158.2","1843532.5981182158","1512266032579158.2","2804129168527780.5","3418033.709940785","1843532.5981182158","3418033.709940785","0.018948602983506188"
"1160325329829652.2","1754748696819841.8","2091428.1027842741","1754748696819841.8","2653689515437902.0","3162293.789875684","2091428.1027842741","3162293.789875684","0.018364212342771528"
"1718524554595283.8","2196481399675751.0","2147937.3732556673","2196481399675751.0","2807367964422804.5","2744863.4346327004","2147937.3732556673","2744863.4346327004","0.015511012353461336"
"2104945938779449.2","2271342093935170.0","2132628.4708977016","2271342093935170.0","2450892009933931.0","2300796.7271241336","2132628.4708977016","2300796.7271241336","0.01701462047388584"
"2735627058119695.0","2451612962364045.0","2492507.7784904414","2451612962364045.0","2197085471754622.5","2233213.725749668","2492507.7784904414","2233213.725749668","0.017746972343987727"
"3934595564650706.0","2912763780615554.5","3178023.6285197935","2912763780615554.5","2156306336380753.8","2352067.947692102","3178023.6285197935","2352067.947692102","0.020954167116735332"
"5607476468202214.0","3738831654349636.0","3826779.0278962525","3738831654349636.0","2492897285909973.0","2551040.6053792546","3826779.0278962525","2551040.6053792546","0.0191886673835977"
"7249682894892721.0","4399829231104240.0","4530142.696379435","4399829231104240.0","2670254480955984.5","2748798.589020786","4530142.696379435","2748798.589020786","0.01904343018924679"
"9321126404328456.0","5292935472704561.0","5260760.629724114","5292935472704561.0","3005555983101113.0","2986657.134231073","5260760.629724114","2986657.134231073","0.019400124745803913"
"1.2176052042098254e+16","6603417965942497.0","5778835.792520762","6603417965942497.0","3581220776736452.0","3133503.300376782","5778835.792520762","3133503.300376782","0.01649681488664136"
"1.3658814091878766e+16","7219205900679513.0","6798285.78142754","7219205900679513.0","3815626698348223.0","3592480.2521480136","6798285.78142754","3592480.2521480136","0.018006475805434175"
"1.35546312962389e+16","7010911177834158.0","6975376.123073102","7010911177834158.0","3626279174231296.0","3607086.528376348","6975376.123073102","3607086.528376348","0.021667627133351103"
"1.3811243009446706e+16","6857420607025603.0","7020667.676565066","6857420607025603.0","3404778183586519.5","3484873.3163549514","7020667.676565066","3484873.3163549514","0.02846823310342129"
"1.7400854760116686e+16","8164329118309500.0","7276293.020628816","8164329118309500.0","3830632041254634.0","3413054.994684842","7276293.020628816","3413054.994684842","0.02696582828030559"
